tract,USP_2012,USS_2012,USC_2012,USP_2016,USS_2016,USC_2016,USP_CHANGE,USS_CHANGE,USC_CHANGE,POPDENSITY_2015,POPDENSITY_CHANGE,NONWHITE_2015,NONWHITE_CHANGE,UNEMPLOYMENT_2015,UNEMPLOYMENT_CHANGE,COLLEGE_2015,COLLEGE_CHANGE,INCOME_2015,INCOME_CHANGE
1400000US42051260700,0.051156356,-7.67E-05,0.067689642,0.248881775,0.176813221,0.300629151,0.197725419,0.176889921,0.232939509,3857.433809,-0.060515873,8.5,1.297297297,6,0.304347826,14.3,-0.046666667,40174,0.172860771
1400000US42051260800,0.033758282,-0.024590765,-0.009203757,0.250585516,0.153854601,0.287667747,0.216827234,0.178445366,0.296871504,3547.818013,-0.011895526,9.2,0.095238095,9.3,0.367647059,11.8,0.356321839,23164,-0.080647722
1400000US42051260900,0.17174128,0.095451933,0.050310129,0.383842817,0.2824288,0.288658224,0.212101537,0.186976867,0.238348095,241.754932,0.08811568,1.2,-0.6,7,-0.585798817,14.9,0.15503876,47200,0.271723023
1400000US42051261000,0.141260163,0.041794088,0.060732984,0.422202002,0.280621572,0.392959087,0.280941839,0.238827484,0.332226103,83.51351351,-0.024852071,5.3,0.261904762,4.2,-0.548387097,18.6,0.476190476,56500,0.45113651
1400000US42051261100,0.060690943,-0.058270677,-0.029665072,0.337595908,0.173194082,0.28934967,0.276904965,0.231464759,0.319014742,131.4059176,-0.033084312,3.9,1.4375,4.5,0.323529412,17.6,0.1,55718,0.205573707
1400000US42051261200,-0.337457818,-0.423963134,-0.429078014,-0.170343137,-0.26119403,-0.151515152,0.167114681,0.162769104,0.277562862,2463.664278,0.029952931,21.1,-0.014018692,11.4,-0.191489362,16.8,1.366197183,25819,0.184683858
1400000US42051261300,-0.132095491,-0.24465812,-0.231660232,0.123383085,-0.062719518,0.104008667,0.255478576,0.181938602,0.335668899,216.0141775,0.007211538,24,-0.097744361,7.5,-0.264705882,14.6,0.158730159,47243,0.314423237
1400000US42051261401,-0.147413791,-0.238172347,-0.248473857,0.09211868,-0.060572473,0.069561247,0.239532471,0.177599874,0.318035104,364.0095339,0.011405445,12,-0.04,17.4,0.611111111,10.7,-0.108333333,36337,0.456042635
1400000US42051261402,-0.053501554,-0.164560615,-0.199119135,0.159311343,-0.025354847,0.158267541,0.212812897,0.139205768,0.357386676,181.0769939,-0.06612411,22.3,4.868421053,14.5,-0.026845638,10.4,-0.161290323,31885,0.167734847
1400000US42051261500,0.022421525,-0.073453608,-0.051485149,0.277746793,0.117481731,0.27089508,0.255325268,0.190935339,0.322380229,194.2226397,-0.032522227,8.1,1.314285714,7.4,-0.295238095,17.7,0.029069767,45788,0.171438074
1400000US42051261600,0.036272069,-0.075378461,-0.070555559,0.285985035,0.112518665,0.128458568,0.249712966,0.187897126,0.199014127,235.5943212,-0.06859868,3.2,1.909090909,4.6,-0.651515152,14.1,-0.078431373,39342,0.0129509
1400000US42051261700,-0.054691175,-0.153330881,-0.110579431,0.195899402,0.022897763,0.06064029,0.250590577,0.176228644,0.171219721,901.7727405,0.070369093,13.4,1.161290323,10.1,-0.234848485,12.7,0.282828283,28262,-0.003139219
1400000US42051261800,0.019554474,-0.084538719,-0.012072745,0.23976599,0.112249116,0.063697871,0.220211516,0.196787835,0.075770616,945.5202685,0.007705008,7.9,-0.233009709,3.6,-0.4375,18.1,0.16025641,38235,0.12960884
1400000US42051261900,-0.163342875,-0.260362378,-0.182386039,-0.001829891,-0.090538502,0.050975112,0.161512984,0.169823876,0.233361151,5850.556439,-0.00915455,16.7,-0.130208333,11.1,0.881355932,9.4,0.02173913,23073,-0.177345171
